30	51	84	122	153	193	228	267	307	345
27	52	86	118	154	189	224	270	300	362
30	58	98	131	180	210	281	365	303	358
27	52	83	117	154	189	225	263	300	351
27	52	85	114	152	190	223	263	298	358
27	55	83	120	149	189	225	261	312	341
27	54	82	120	152	197	237	268	305	351
31	51	82	121	158	188	230	264	313	345
27	53	87	118	153	191	234	273	306	356
27	54	86	118	153	190	227	266	304	359
27	53	82	117	157	195	227	266	302	347
27	56	83	120	159	190	227	277	303	343
30	52	83	120	157	189	234	298	348	395
36	66	106	119	154	196	224	263	299	340
27	53	84	118	157	189	231	270	301	346
27	50	86	114	148	195	231	262	300	336
27	54	84	121	149	191	228	272	306	345
27	55	86	119	159	197	230	268	305	361
27	55	84	115	152	194	232	269	311	345
28	52	88	118	157	193	228	270	306	350
27	52	86	119	152	205	235	273	309	357
28	55	85	119	157	197	227	266	307	341
30	52	82	120	155	186	228	258	316	379
30	57	93	137	174	220	360	270	308	334
30	51	82	116	160	186	221	263	313	339
26	51	81	114	152	189	223	264	301	346
27	52	85	116	152	185	226	263	298	348
27	51	85	122	154	191	228	264	309	339
26	55	82	118	149	188	227	281	315	352
30	51	83	120	151	193	227	261	305	346
27	52	88	123	152	196	226	270	303	340
28	54	85	115	153	187	229	267	299	348
27	54	86	118	158	189	226	266	311	348
28	53	85	120	154	189	244	291	329	433
96	53	82	127	155	189	232	270	303	341
27	56	87	114	149	189	220	270	296	344
27	54	85	119	153	189	222	265	302	334
27	56	81	120	153	182	224	259	298	339
28	54	86	119	152	195	226	268	309	338
27	52	84	118	151	192	229	265	305	345
28	52	86	124	152	188	227	264	312	341
27	52	89	119	154	191	226	274	306	348
27	53	85	120	159	193	226	262	317	341
27	55	84	119	154	186	234	261	319	373
29	60	95	132	183	219	377	266	319	349
30	52	83	117	152	194	224	268	299	338
27	51	86	118	155	205	223	264	302	339
27	51	86	118	150	199	228	258	306	338
27	54	83	117	152	184	231	272	311	343
27	57	82	120	152	192	225	268	304	338
24	53	83	120	152	189	226	261	308	366
28	51	87	119	154	196	236	281	313	345
27	53	89	119	151	187	227	262	300	343
27	55	84	120	151	192	230	265	309	340
27	58	83	119	157	201	256	292	340	497
27	53	85	113	153	190	222	265	299	338
27	51	82	118	152	188	225	263	293	335
27	55	84	124	156	186	225	263	309	348
29	52	82	122	157	188	224	258	303	346
28	55	89	115	154	192	226	273	300	350
27	53	86	121	151	193	228	266	310	350
27	52	83	119	155	191	229	266	309	346
28	54	83	121	154	196	224	265	308	352
29	53	83	123	155	188	225	263	312	343
27	53	88	118	157	192	227	265	298	366
30	59	95	132	168	214	284	371	299	340
27	53	84	116	152	188	229	273	297	345
27	51	84	117	148	184	223	260	299	336
26	51	81	119	160	182	222	265	295	339
27	53	85	125	154	188	224	268	303	353
30	52	83	117	157	194	233	263	313	344
27	53	86	118	154	190	232	278	367	347
27	52	87	122	151	192	231	271	314	343
27	53	84	120	150	192	231	267	305	342
27	54	83	118	157	188	249	267	311	343
27	56	85	118	154	194	263	299	337	414
32	68	85	123	154	196	222	269	302	348
27	52	85	114	153	190	223	271	298	348
28	50	84	114	149	187	224	263	298	342
27	53	84	120	149	186	224	270	305	341
27	54	89	122	153	193	232	268	307	357
26	52	83	118	156	191	227	262	302	352
26	53	85	120	154	192	234	268	306	347
28	52	85	118	153	188	232	268	315	342
27	53	86	119	151	187	229	273	302	349
27	57	85	121	157	194	226	268	304	391
33	58	95	132	170	244	345	268	301	337
27	52	87	114	148	188	221	258	293	343
28	51	86	117	153	187	232	265	299	340
27	52	85	119	153	186	223	267	309	336
27	56	86	120	149	194	226	266	303	340
28	54	84	119	155	195	230	267	316	342
28	51	87	118	155	192	224	262	311	346
28	52	86	117	154	195	229	266	310	343
28	52	87	115	150	192	226	263	306	349
27	52	82	121	151	188	228	268	304	337
29	58	82	118	157	188	245	291	349	426
91	56	83	121	151	192	230	264	305	338
27	53	83	117	154	188	223	278	307	344
27	52	83	115	149	187	230	259	300	342
27	52	85	116	150	185	225	260	300	343
27	53	83	118	150	191	229	262	303	341
28	54	83	120	153	192	228	275	306	341
27	52	83	118	156	187	225	262	307	343
27	52	87	117	152	192	230	276	304	348
27	53	88	121	156	191	227	265	303	357
25	52	86	126	154	189	228	266	307	362
28	61	90	132	173	206	285	358	310	347
27	50	83	114	152	189	222	262	293	349
26	51	84	113	150	195	225	264	294	350
27	54	81	123	154	188	227	259	311	338
30	52	82	119	155	191	226	260	305	354
27	54	85	116	156	190	234	266	324	349
27	52	85	120	157	194	228	268	304	346
26	53	84	118	152	188	234	268	307	361
27	57	88	120	152	190	225	262	303	351
26	52	84	119	155	189	234	261	311	344
